OID_,OBJECTID,SITE,PHONE,FAX,STREET,NEIGH,ZIP,shape_wkt,POINT_X,POINT_Y
1,0.000000000000000,Pino,635-5120,635-1874,86 Boardman St.,East Boston,2128.000000000000000,POINT (-71.010826982999959 42.388881714000036),-71.010826982999959,42.388881714000036
2,0.000000000000000,Paris Street Pool*,635-1410,635-5079,113 Paris St.,East Boston,2128.000000000000000,POINT (-71.036891916999934 42.372427151000068),-71.036891916999934,42.372427151000068
3,0.000000000000000,Paris Street,635-5125,635-5079,112 Paris St.,East Boston,2128.000000000000000,POINT (-71.037522024999987 42.372881631000041),-71.037522024999987,42.372881631000041
4,0.000000000000000,Golden Age Center,635-5175,635-5647,382 Main St.,Charlestown,2129.000000000000000,POINT (-71.069916813999953 42.379769017000058),-71.069916813999953,42.379769017000058
5,0.000000000000000,Charlestown*,635-5169,635-5084,255 Medford St.,Charlestown,2129.000000000000000,POINT (-71.060950719999937 42.380995303000077),-71.060950719999937,42.380995303000077
6,0.000000000000000,Nazzaro,635-5166,635-5053,30 N. Bennet St.,Boston,2113.000000000000000,POINT (-71.054496880999977 42.365299680000078),-71.054496880999977,42.365299680000078
7,0.000000000000000,Quincy*,635-5129,635-5132,885 Washington St,Boston,2111.000000000000000,POINT (-71.064961768999979 42.347949276000065),-71.064961768999979,42.347949276000065
8,0.000000000000000,Condon*,635-5100,635-5103,200 ""D"" St.,South Boston,2127.000000000000000,POINT (-71.052526640999986 42.338151480000079),-71.052526640999986,42.338151480000079
9,0.000000000000000,Tynan,635-5110,635-5065,650 E. Fourth St.,South Boston,2127.000000000000000,POINT (-71.038913677999972 42.334633439000072),-71.038913677999972,42.334633439000072
10,0.000000000000000,Curley,635-5104,635-1259,1663 Columbia Rd.,South Boston,2127.000000000000000,POINT (-71.035462946999985 42.329207249000035),-71.035462946999985,42.329207249000035
11,0.000000000000000,Vine Street,635-1285,635-1291,339 Dudley Street,Roxbury,2119.000000000000000,POINT (-71.076714773999981 42.326781808000078),-71.076714773999981,42.326781808000078
12,0.000000000000000,Blackstone*,635-5162,635-5057,50 W. Brookline S,Boston,2118.000000000000000,POINT (-71.073004135999952 42.340381074000049),-71.073004135999952,42.340381074000049
13,0.000000000000000,Rec. Division @ Madison Park*,635-5206,635-5078,55 Malcom X Blvd,Roxbury,2119.000000000000000,POINT (-71.089227867999966 42.331686026000057),-71.089227867999966,42.331686026000057
14,0.000000000000000,Tobin,635-5216,635-5288,1481 Tremont St.,Roxbury,2119.000000000000000,POINT (-71.098161688999937 42.332401925000056),-71.098161688999937,42.332401925000056
15,0.000000000000000,Shelburne,635-5213,635-5224,2730 Washington S,Roxbury,2119.000000000000000,POINT (-71.090203292999945 42.322410631000025),-71.090203292999945,42.322410631000025
16,0.000000000000000,Holland*,635-5144,635-5152,85 Olney St.,Dorchester,2121.000000000000000,POINT (-71.073619122999958 42.30614024700003),-71.073619122999958,42.306140247000030
17,0.000000000000000,Perkins*,635-5146,635-5274,155 Talbot Ave.,Dorchester,2124.000000000000000,POINT (-71.080450551999945 42.292451250000056),-71.080450551999945,42.292451250000056
